operator,plan_name,plan_code,data_allowance_raw,data_allowance_normalized,qos_raw,qos_speed,voice_allowance,sms_allowance,base_price_text,base_price,benefit_price_text,benefit_price,plan_type,partnership_flag,network_type,product_group,source_url,collected_at
리브엠모바일,GS LTE 71GB+(LGU+망),PD00001329,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 34,300원",34300,,,유심,false,LTE,U42,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,GS LTE 25GB+(LGU+망),PD00001330,15GB+10GB+1Mbps,15GB+10GB+1Mbps,15GB+10GB+1Mbps,1Mbps,기본제공,기본제공,"월 24,400원",24400,,,유심,false,LTE,U42,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,사장님(GS) LTE 17GB+(LGU+망),PD00001331,7GB+10GB+1Mbps,7GB+10GB+1Mbps,7GB+10GB+1Mbps,1Mbps,기본제공,기본제공,"월 18,100원",18100,,,유심,false,LTE,U42,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 실속 1GB(100분)(SKT망),PD00001332,1GB,1GB,,,100분,100건,"월 6,600원",6600,,,유심,false,LTE,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 실속 3GB(100분)(SKT망),PD00001333,3GB,3GB,,,100분,100건,"월 7,700원",7700,,,유심,false,LTE,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 실속 5GB(100분)(SKT망),PD00001334,5GB,5GB,,,100분,100건,"월 9,900원",9900,,,유심,false,LTE,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 실속 9GB(100분)(SKT망),PD00001335,9GB,9GB,,,100분,100건,"월 11,000원",11000,,,유심,false,LTE,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 실속 2GB(100분)(SKT망),PD00001338,2GB,2GB,,,100분,100건,"월 11,900원",11900,,,유심,false,5G,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 실속 4GB(100분)(SKT망),PD00001339,4GB,4GB,,,100분,100건,"월 14,900원",14900,,,유심,false,5G,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 실속 15GB(100분)(SKT망),PD00001340,15GB,15GB,,,100분,100건,"월 15,400원",15400,,,유심,false,5G,S07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
